────────────────────────────────────────────────────────────────────────────────
2015 01 1    70µs   138
2015 01 2    13µs   1771
2015 02 1   860µs   1588178
2015 02 2   440µs   3783758
2015 03 1   350µs   2592
2015 03 2   400µs   2360
2015 04 1    14ms   117946
2015 04 2   470ms   3938038
2015 05 1   100µs   236
2015 05 2    90µs   51
2015 06 1    20ms   543903
2015 06 2    20ms   14687245
2015 07 1   1.7ms   956
2015 07 2   3.8ms   40149
2015 08 1    10µs   1371
2015 08 2    23µs   2117
2015 09 1    13ms   207
2015 09 2    14ms   804
2015 10 1    18ms   492982
2015 10 2   260ms   6989950
2015 11 1   800µs   vzbxxyzz
2015 11 2   2.9ms   vzcaabcc
2015 12 1   540µs   119433
2015 12 2   510µs   68466
2015 13 1   3.9ms   709
2015 13 2    17ms   668
2015 14 1   250µs   2660
2015 14 2    54µs   1256
2015 15 1   1.3ms   222870
2015 15 2   870µs   117936
2015 16 1   570µs   103
2015 16 2   480µs   405
2015 17 1   1.1ms   654
2015 17 2   1.1ms   57
2015 18 1   6.3ms   814
2015 18 2   6.4ms   924
2015 19 1   600µs   535
2015 19 2    11ms   212
2015 20 1    11ms   786240
2015 20 2   3.4ms   831600
2015 21 1   190µs   121
2015 21 2   130µs   201
2015 22 1   4.3ms   900
2015 22 2   6.8ms   1216
2015 23 1    47µs   255
2015 23 2    39µs   334
2015 24 1   190ms   11846773891
2015 24 2   6.1ms   80393059
2015 25 1    65µs   2650453
────────────────────────────────────────────────────────────────────────────────
2015 ** *    1.1s   50 / 50
════════════════════════════════════════════════════════════════════════════════
2016 01 1   2.7µs   252
2016 01 2    52µs   143
2016 02 1    93µs   78985
2016 02 2   100µs   57DD8
2016 03 1    96µs   869
2016 03 2    93µs   1544
2016 04 1     4ms   173787
2016 04 2   1.3ms   548
2016 05 1   960ms   f77a0e6e
2016 05 2    2.8s   999828ec
2016 06 1   140µs   zcreqgiv
2016 06 2   150µs   pljvorrk
2016 07 1   420µs   115
2016 07 2   850µs   231
2016 08 1    39µs   106
2016 08 2    33µs   CFLELOYFCS
2016 09 1   1.6ms   120765
2016 09 2   3.5ms   11658395076
2016 10 1   1.2ms   56
2016 10 2   1.3ms   7847
2016 11 1   9.2ms   37
2016 11 2    36ms   61
2016 12 1   1.7ms   318009
2016 12 2    52ms   9227663
2016 13 1    95µs   90
2016 13 2    42µs   135
2016 14 1    12ms   15168
2016 14 2    4.9s   20864
2016 15 1   130µs   317371
2016 15 2   110µs   2080951
2016 16 1   1.6µs   10010110010011110
2016 16 2    80ms   01101011101100011
2016 17 1    28µs   RRRLDRDUDD
2016 17 2    67ms   706
2016 18 1   870ns   1987
2016 18 2   820µs   19984714
2016 19 1    27ms   1841611
2016 19 2    22ms   1423634
2016 20 1    94µs   32259706
2016 20 2    66µs   113
2016 21 1    13µs   baecdfgh
2016 21 2    12µs   cegdahbf
2016 22 1   4.2ms   937
2016 22 2   4.8ms   188
2016 23 1    54µs   13468
2016 23 2    52µs   479010028
2016 24 1    29ms   500
2016 24 2    28ms   748
2016 25 1   9.8ms   198
────────────────────────────────────────────────────────────────────────────────
2016 ** *    9.1s   50 / 50
════════════════════════════════════════════════════════════════════════════════
2017 01 1   1.8µs   1144
2017 01 2   2.2µs   1194
2017 02 1   9.2µs   44887
2017 02 2   9.5µs   242
2017 03 1   140µs   326
2017 03 2    32µs   363010
2017 04 1   750µs   383
2017 04 2   770µs   265
2017 05 1   930µs   342669
2017 05 2    64ms   25136209
2017 06 1   2.2ms   11137
2017 06 2   2.4ms   1037
2017 07 1   920µs   bpvhwhh
2017 07 2     1ms   256
2017 08 1   160µs   5946
2017 08 2   160µs   6026
2017 09 1    82µs   21037
2017 09 2    80µs   9495
2017 10 1   3.6µs   38628
2017 10 2   120µs   e1462100a34221a7f0906da15c1c979a
2017 11 1   120µs   682
2017 11 2   130µs   1406
